date,gsp_id,generation_mw,capacity_mwp,installedcapacity_mwp,site_count,gsp_lat,gsp_lon,region_name,TOA_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,T2M_MIN,T2M_MAX,T2MDEW,WS2M,PRECTOTCORR
2022-01-01,30,2.0276271136957447,105.00777999999998,110.72879,597658.0,51.60402,-0.04604,Tottenham,6.85,2.02,11.08,10.16,12.75,10.3,4.76,0.39
2022-01-02,30,1.2386798,105.00536,110.72879,580754.0,51.60402,-0.04604,Tottenham,6.9,2.35,10.3,8.12,11.77,9.22,5.61,3.68
2022-01-03,30,1.118593804,105.0031,110.72897,616761.0,51.60402,-0.04604,Tottenham,6.96,1.92,8.12,7.33,9.52,7.61,4.4,0.19
2022-01-04,30,1.2603563105208333,105.01478000000002,110.74307,131126.0,51.60402,-0.04604,Tottenham,7.03,2.33,3.79,-0.24,7.34,2.72,3.6,1.68
2022-01-05,30,8.347554528333333,105.04261000000001,110.77333,506888.0,51.60402,-0.04604,Tottenham,7.1,4.45,0.97,-0.51,5.48,0.06,3.84,0.04
2022-01-06,30,2.0939060142770836,105.05611,110.78925,570330.0,51.60402,-0.04604,Tottenham,7.17,1.63,1.67,-2.82,6.32,0.78,3.14,1.36
2022-01-07,30,3.499661535747917,105.06471,110.80028,604098.0,51.60402,-0.04604,Tottenham,7.25,2.82,3.38,2.27,5.44,2.51,4.41,2.76
2022-01-08,30,0.45643482599356916,105.06235,110.80035,567381.0,51.60402,-0.04604,Tottenham,7.34,1.12,5.37,2.14,9.21,4.78,4.72,8.73
2022-01-09,30,9.004507172916666,105.05991999999999,110.80034,614363.0,51.60402,-0.04604,Tottenham,7.43,4.42,3.19,1.64,6.65,2.71,3.2,0.56
2022-01-10,30,1.1921170405625,105.08457,110.82742,605821.0,51.60402,-0.04604,Tottenham,7.52,1.21,4.74,1.9,7.57,4.35,2.08,0.28
2022-01-11,30,0.8883056595833333,105.10548,110.85076,611392.0,51.60402,-0.04604,Tottenham,7.62,1.78,7.39,5.08,10.08,7.02,2.29,1.99
2022-01-12,30,9.748574372916666,105.11432,110.86203,578343.0,51.60402,-0.04604,Tottenham,7.73,4.92,3.29,1.26,7.16,2.8,1.58,0.09
2022-01-13,30,10.1565998125,105.14172,110.89185000000002,602855.0,51.60402,-0.04604,Tottenham,7.84,5.12,2.48,0.13,7.7,1.86,1.42,0.11
2022-01-14,30,10.099134770833333,105.21306,110.96562999999999,605417.0,51.60402,-0.04604,Tottenham,7.95,5.09,1.4,-0.99,6.1,1.57,1.2,0.16
2022-01-15,30,2.8451560750000002,105.21314,110.96814,603648.0,51.60402,-0.04604,Tottenham,8.07,2.69,2.33,0.83,4.49,2.22,1.53,0.2
2022-01-16,30,5.589664020833333,105.21071,110.96813000000002,518328.0,51.60402,-0.04604,Tottenham,8.2,3.95,3.75,0.87,6.51,3.91,2.05,0.68
2022-01-17,30,10.522789666666666,105.21272,110.97258,501022.0,51.60402,-0.04604,Tottenham,8.33,5.51,2.82,0.35,7.4,2.22,2.0,0.02
2022-01-18,30,5.894200952083334,105.24668000000001,111.00896,471066.0,51.60402,-0.04604,Tottenham,8.46,3.48,3.0,0.12,7.23,3.02,0.99,0.3
2022-01-19,30,3.1545461875,105.30004000000001,111.06476000000002,441264.0,51.60402,-0.04604,Tottenham,8.6,3.28,4.02,2.08,8.83,3.51,3.01,0.3
2022-01-20,30,10.033797854166666,105.32593000000001,111.09308,500161.0,51.60402,-0.04604,Tottenham,8.74,5.48,1.24,-1.85,5.0,-0.67,3.47,0.06
2022-01-21,30,5.1052075979166665,105.37593,111.14551999999999,515111.0,51.60402,-0.04604,Tottenham,8.89,2.87,0.58,-3.12,5.35,-0.09,2.64,0.03
2022-01-22,30,1.8614083770833334,105.37837,111.1504,506522.0,51.60402,-0.04604,Tottenham,9.04,2.96,2.55,0.61,6.61,1.9,2.15,0.12
2022-01-23,30,1.0526831602083333,105.38114,111.1556,595132.0,51.60402,-0.04604,Tottenham,9.19,1.46,2.69,0.46,6.26,1.78,0.91,0.18
2022-01-24,30,1.0168494573110418,105.40882,111.18571000000001,602088.0,51.60402,-0.04604,Tottenham,9.35,1.62,1.69,-0.21,5.39,0.56,1.06,0.07
2022-01-25,30,0.7201491513333335,105.42329,111.20263,449089.0,51.60402,-0.04604,Tottenham,9.52,1.51,0.89,-1.26,3.64,-0.09,0.65,0.17
2022-01-26,30,2.828850221875,105.43536,111.21713,421147.0,51.60402,-0.04604,Tottenham,9.69,4.22,2.1,-1.35,7.02,1.43,2.72,0.05
2022-01-27,30,2.3779846458333336,105.46042,111.24462,541155.0,51.60402,-0.04604,Tottenham,9.86,3.33,5.19,2.44,10.98,4.66,3.73,0.07
2022-01-28,30,6.403228020833333,105.48052,111.26716,561462.0,51.60402,-0.04604,Tottenham,10.04,4.65,4.96,2.69,8.58,4.16,3.16,0.22
2022-01-29,30,6.527488065229167,105.48534,111.27442,565702.0,51.60402,-0.04604,Tottenham,10.22,3.96,8.58,3.26,12.09,7.03,5.55,0.28
2022-01-30,30,11.668737456458333,105.48290000000001,111.27441,556315.0,51.60402,-0.04604,Tottenham,10.41,6.81,3.3,-1.55,7.44,1.71,2.83,0.33
